chromosome	coordinate	GC_content	HFC
DcoA	26550000	0.37596	HFC
DcoA	26650000	0.40413	HFC
DcoA	26750000	0.38285	HFC
DcoA	26850000	0.37122	HFC
DcoA	26950000	0.36002	HFC
DcoA	27050000	0.3622	HFC
DcoA	27150000	0.35077	HFC
DcoA	27250000	0.37461	HFC
DcoA	27350000	0.37454909819639276	HFC
DcoA	27450000	0.35456	HFC
DcoA	27550000	0.36617	non-HFC
DcoA	27650000	0.34155	non-HFC
DcoA	27750000	0.36527	non-HFC
DcoA	27850000	0.35776	non-HFC
DcoA	27950000	0.36968	non-HFC
DcoA	28050000	0.36514	non-HFC
DcoA	28150000	0.36732	non-HFC
DcoA	28250000	0.37147	non-HFC
DcoA	28350000	0.36122	non-HFC
DcoA	28450000	0.35961	non-HFC
DcoA	28550000	0.37042	non-HFC
DcoA	28650000	0.3563	non-HFC
DcoA	28750000	0.37014028056112225	non-HFC
DcoA	28850000	0.35388	non-HFC
DcoA	28950000	0.34937	non-HFC
DcoA	29050000	0.38766	non-HFC
DcoA	29150000	0.36193	non-HFC
DcoA	29250000	0.37158	non-HFC
DcoA	29350000	0.36085	non-HFC
DcoA	29450000	0.37633	non-HFC
DcoA	29550000	0.37116	non-HFC
DcoA	29650000	0.36586	non-HFC
DcoA	29750000	0.37733	non-HFC
DcoA	29850000	0.38336	non-HFC
DcoA	29950000	0.38528	non-HFC
DcoA	30050000	0.38231	non-HFC
DcoA	30150000	0.3808	non-HFC
DcoA	30250000	0.39246	non-HFC
DcoA	30350000	0.38279	non-HFC
DcoA	30450000	0.35874	non-HFC
DcoA	30550000	0.38765	non-HFC
DcoA	30650000	0.38731	non-HFC
DcoA	30750000	0.38278	non-HFC
DcoA	30850000	0.34408	non-HFC
DcoA	30950000	0.35487	non-HFC
DcoA	31050000	0.38592	non-HFC
DcoA	31150000	0.41514	non-HFC
DcoA	31250000	0.3823	non-HFC
DcoA	31350000	0.38092	non-HFC
DcoA	31450000	0.36916	non-HFC
DcoA	31550000	0.36603	non-HFC
DcoA	31650000	0.36226	non-HFC
DcoA	31750000	0.35373	non-HFC
DcoA	31850000	0.37492	non-HFC
DcoA	31950000	0.37368	non-HFC
DcoA	32050000	0.37844	non-HFC
DcoA	32150000	0.37976	non-HFC
DcoA	32250000	0.39314	non-HFC
DcoA	32350000	0.38552	non-HFC
DcoA	32450000	0.39291	non-HFC
DcoA	32550000	0.3833	non-HFC
DcoA	32650000	0.38674	non-HFC
DcoA	32750000	0.3987	non-HFC
DcoA	32850000	0.35763	non-HFC
DcoA	32950000	0.36906	non-HFC
DcoA	33050000	0.40019	non-HFC
DcoA	33150000	0.39337	non-HFC
DcoA	33250000	0.37539	non-HFC
DcoA	33350000	0.36556	non-HFC
DcoA	33450000	0.37594	non-HFC
DcoA	33550000	0.35541	non-HFC
DcoA	33650000	0.37276	non-HFC
DcoA	33750000	0.37579	non-HFC
DcoA	33850000	0.37317	non-HFC
DcoA	33950000	0.37746	non-HFC
DcoA	34050000	0.37409	non-HFC
DcoA	34150000	0.3788	non-HFC
DcoA	34250000	0.37962	non-HFC
DcoA	34350000	0.38407	non-HFC
DcoA	34450000	0.38917	non-HFC
DcoA	34550000	0.38175	non-HFC
DcoA	34650000	0.38247	non-HFC
DcoA	34750000	0.37726	non-HFC
DcoA	34850000	0.38915	non-HFC
DcoA	34950000	0.38143	non-HFC
DcoA	35050000	0.38875	non-HFC
DcoA	35150000	0.3739	non-HFC
DcoA	35250000	0.38422	non-HFC
DcoA	35350000	0.37641282565130263	non-HFC
DcoA	35450000	0.39135	non-HFC
DcoA	35550000	0.36573	non-HFC
DcoA	35650000	0.38783	non-HFC
DcoA	35750000	0.37027	non-HFC
DcoA	35850000	0.35534	non-HFC
DcoA	35950000	0.35562	non-HFC
DcoA	36050000	0.3556	non-HFC
DcoA	36150000	0.35881	non-HFC
DcoA	36250000	0.37185	non-HFC
DcoA	36350000	0.37882	non-HFC
DcoA	36450000	0.38534	non-HFC
DcoA	36550000	0.40134	HFC
DcoA	36650000	0.38556	HFC
DcoA	36750000	0.37006	HFC
DcoA	36850000	0.39658	HFC
DcoA	36950000	0.40163	HFC
DcoA	37050000	0.40038	HFC
DcoA	37150000	0.38948	HFC
DcoA	37250000	0.38458	HFC
DcoA	37350000	0.38457	HFC
DcoA	37450000	0.3854	HFC
DcoA	37550000	0.40503	HFC
DcoA	37650000	0.38754	HFC
DcoA	37750000	0.39734	HFC
DcoA	37850000	0.36948	HFC
DcoA	37950000	0.37156	HFC
DcoA	38050000	0.3605	HFC
DcoA	38150000	0.36201	HFC
DcoA	38250000	0.36552	HFC
DcoA	38350000	0.37426	HFC
DcoA	38450000	0.36825	HFC
DcoA	38550000	0.36593	HFC
DcoA	38650000	0.37116	HFC
DcoA	38750000	0.36879	HFC
DcoA	38850000	0.36303	HFC
DcoA	38950000	0.3633	HFC
DcoA	39050000	0.35649	HFC
DcoA	39150000	0.36896	HFC
DcoA	39250000	0.38874	HFC
DcoA	39350000	0.36361	HFC
DcoA	39450000	0.36164	HFC
DcoA	39550000	0.37614	non-HFC
DcoA	39650000	0.36496	non-HFC
DcoA	39750000	0.38567	non-HFC
DcoA	39850000	0.37079	non-HFC
DcoA	39950000	0.38	non-HFC
DcoA	40050000	0.38362	non-HFC
DcoA	40150000	0.35876	non-HFC
DcoA	40250000	0.37697	non-HFC
DcoA	40350000	0.39403	non-HFC
DcoA	40450000	0.38003	non-HFC
DcoA	40550000	0.37737	non-HFC
DcoA	40650000	0.38637	non-HFC
DcoA	40750000	0.38173	non-HFC
DcoA	40850000	0.37409	non-HFC
DcoA	40950000	0.38354	non-HFC
DcoA	41050000	0.38905	non-HFC
DcoA	41150000	0.36253	non-HFC
DcoA	41250000	0.38212	non-HFC
DcoA	41350000	0.3775	non-HFC
DcoA	41450000	0.37841	non-HFC
DcoA	41550000	0.36712	non-HFC
DcoA	41650000	0.37322	non-HFC
DcoA	41750000	0.35718	non-HFC
DcoA	41850000	0.37385	non-HFC
DcoA	41950000	0.36468	non-HFC
DcoA	42050000	0.37836	non-HFC
DcoA	42150000	0.37472	non-HFC
DcoA	42250000	0.371	non-HFC
DcoA	42350000	0.37225	non-HFC
DcoA	42450000	0.36155	non-HFC
DcoA	42550000	0.38368	non-HFC
DcoA	42650000	0.36502	non-HFC
DcoA	42750000	0.36454	non-HFC
DcoA	42850000	0.37745	non-HFC
DcoA	42950000	0.37693	non-HFC
DcoA	43050000	0.37428	non-HFC
DcoA	43150000	0.37243	non-HFC
DcoA	43250000	0.37129	non-HFC
DcoA	43350000	0.37191	non-HFC
DcoA	43450000	0.3671442885771543	non-HFC
DcoA	43550000	0.38039	non-HFC
DcoA	43650000	0.36555	non-HFC
DcoA	43750000	0.36616	non-HFC
DcoA	43850000	0.37336	non-HFC
DcoA	43950000	0.36426	non-HFC
DcoA	44050000	0.36707	non-HFC
DcoA	44150000	0.36012	non-HFC
DcoA	44250000	0.37358	non-HFC
DcoA	44350000	0.34644	non-HFC
DcoA	44450000	0.3615	non-HFC
DcoA	44550000	0.36485	HFC
DcoA	44650000	0.37703	HFC
DcoA	44750000	0.35643	HFC
DcoA	44850000	0.34754	HFC
DcoA	44950000	0.36073	HFC
DcoA	45050000	0.36119	HFC
DcoA	45150000	0.41053	HFC
DcoA	45250000	0.39498	HFC
DcoA	45350000	0.37039	HFC
DcoA	45450000	0.3729	HFC
DcoA	45550000	0.36884	HFC
DcoA	45650000	0.36271	HFC
DcoA	45750000	0.38205	HFC
DcoA	45850000	0.36906	HFC
DcoA	45950000	0.38359	HFC
DcoA	46050000	0.4177	HFC
DcoA	46150000	0.40999	HFC
DcoA	46250000	0.40591	HFC
DcoA	46350000	0.42157	HFC
DcoA	46450000	0.3949	HFC
DcoA	46550000	0.37121	HFC
DcoA	46650000	0.3552	HFC
DcoA	46750000	0.38493	HFC
DcoA	46850000	0.36079	HFC
DcoA	46950000	0.37039	HFC
DcoA	47050000	0.37503	HFC
DcoA	47150000	0.35421	HFC
DcoA	47250000	0.36999	HFC
DcoA	47350000	0.37352	HFC
DcoA	47450000	0.38926	HFC
DcoA	47550000	0.37077	non-HFC
DcoA	47650000	0.3546793587174349	non-HFC
DcoA	47750000	0.37498	non-HFC
DcoA	47850000	0.34549	non-HFC
DcoA	47950000	0.36461	non-HFC
DcoA	48050000	0.34701	non-HFC
DcoA	48150000	0.37863	non-HFC
DcoA	48250000	0.35155	non-HFC
DcoA	48350000	0.34752	non-HFC
DcoA	48450000	0.37502	non-HFC
DcoA	48550000	0.36457	non-HFC
DcoA	48650000	0.35692	non-HFC
DcoA	48750000	0.35715	non-HFC
DcoA	48850000	0.36295	non-HFC
DcoA	48950000	0.35335	non-HFC
DcoA	49050000	0.37034	non-HFC
DcoA	49150000	0.36696	non-HFC
DcoA	49250000	0.3601	non-HFC
DcoA	49350000	0.37609	non-HFC
DcoA	49450000	0.36715	non-HFC
DcoA	49550000	0.37490981963927855	non-HFC
DcoA	49650000	0.36628	non-HFC
DcoA	49750000	0.35462	non-HFC
DcoA	49850000	0.36981	non-HFC
DcoA	49950000	0.35153	non-HFC
DcoA	50050000	0.3811	non-HFC
DcoA	50150000	0.36733	non-HFC
DcoA	50250000	0.37064	non-HFC
DcoA	50350000	0.37993	non-HFC
DcoA	50450000	0.37337	non-HFC
DcoA	50550000	0.37656	non-HFC
DcoA	50650000	0.37245	non-HFC
DcoA	50750000	0.38935	non-HFC
DcoA	50850000	0.38516	non-HFC
DcoA	50950000	0.37621	non-HFC
DcoA	51050000	0.37833	non-HFC
DcoA	51150000	0.39393	non-HFC
DcoA	51250000	0.3849	non-HFC
DcoA	51350000	0.39312	non-HFC
DcoA	51450000	0.37975	non-HFC
DcoA	51550000	0.39034	non-HFC
DcoA	51650000	0.38287	non-HFC
DcoA	51750000	0.37829	non-HFC
DcoA	51850000	0.37567	non-HFC
DcoA	51950000	0.38432	non-HFC
DcoA	52050000	0.38017	non-HFC
DcoA	52150000	0.3887	non-HFC
DcoA	52250000	0.38261	non-HFC
DcoA	52350000	0.37383	non-HFC
DcoA	52450000	0.37617	non-HFC
DcoA	52550000	0.38203	non-HFC
DcoA	52650000	0.36738	non-HFC
DcoA	52750000	0.38117	non-HFC
DcoA	52850000	0.37869	non-HFC
DcoA	52950000	0.39017	non-HFC
DcoA	53050000	0.38779	non-HFC
DcoA	53150000	0.40039	non-HFC
DcoA	53250000	0.377	non-HFC
DcoA	53350000	0.3789	non-HFC
DcoA	53450000	0.38822	non-HFC
DcoA	53550000	0.38403	non-HFC
DcoA	53650000	0.38584	non-HFC
DcoA	53750000	0.38361	non-HFC
DcoA	53850000	0.38733	non-HFC
DcoA	53950000	0.39851	non-HFC
DcoA	54050000	0.37787	non-HFC
DcoA	54150000	0.38335	non-HFC
DcoA	54250000	0.37561	non-HFC
DcoA	54350000	0.38439	non-HFC
DcoA	54450000	0.37813	non-HFC
DcoA	54550000	0.38104	non-HFC
DcoA	54650000	0.38112	non-HFC
DcoA	54750000	0.3857	non-HFC
DcoA	54850000	0.37272	non-HFC
DcoA	54950000	0.38292	non-HFC
DcoA	55050000	0.3775	non-HFC
DcoA	55150000	0.38372	non-HFC
DcoA	55250000	0.38727	non-HFC
DcoA	55350000	0.38124	non-HFC
DcoA	55450000	0.37727	non-HFC
DcoA	55550000	0.37649	non-HFC
DcoA	55650000	0.3772	non-HFC
DcoA	55750000	0.403	non-HFC
DcoA	55850000	0.38524	non-HFC
DcoA	55950000	0.37566	non-HFC
DcoA	56050000	0.36749498997995994	non-HFC
DcoA	56150000	0.36566	non-HFC
DcoA	56250000	0.35896	non-HFC
DcoA	56350000	0.36953	non-HFC
DcoA	56450000	0.3662	non-HFC
DcoA	56550000	0.36434	HFC
DcoA	56650000	0.36176	HFC
DcoA	56750000	0.35655	HFC
DcoA	56850000	0.36286	HFC
DcoA	56950000	0.37136	HFC
DcoA	57050000	0.37547	HFC
DcoA	57150000	0.36662	HFC
DcoA	57250000	0.36405	HFC
DcoA	57350000	0.37353	HFC
DcoA	57450000	0.39496	HFC
DcoA	57550000	0.37045	HFC
DcoA	57650000	0.39698	HFC
DcoA	57750000	0.40681	HFC
DcoA	57850000	0.36589	HFC
DcoA	57950000	0.37692	HFC
DcoA	58050000	0.38117	HFC
DcoA	58150000	0.37089	HFC
DcoA	58250000	0.36644	HFC
DcoA	58350000	0.36594	HFC
DcoA	58450000	0.37574	HFC
DcoA	58550000	0.37094	HFC
DcoA	58650000	0.39531	HFC
DcoA	58750000	0.437	HFC
DcoA	58850000	0.42442	HFC
DcoA	58950000	0.41995	HFC
DcoA	59050000	0.42269	HFC
DcoA	59150000	0.39825	HFC
DcoA	59250000	0.39173	HFC
DcoA	59350000	0.39451	HFC
DcoA	59450000	0.37566	HFC
DcoA	59550000	0.35858	non-HFC
DcoA	59650000	0.35252	non-HFC
DcoA	59750000	0.36109	non-HFC
DcoA	59850000	0.3714	non-HFC
DcoA	59950000	0.37067	non-HFC
DcoA	60050000	0.34677	non-HFC
DcoA	60150000	0.35397	non-HFC
DcoA	60250000	0.35187	non-HFC
DcoA	60350000	0.35923	non-HFC
DcoA	60450000	0.35712	non-HFC
DcoA	60550000	0.3625350701402806	non-HFC
DcoA	60650000	0.35052	non-HFC
DcoA	60750000	0.3568	non-HFC
DcoA	60850000	0.35653306613226454	non-HFC
DcoA	60950000	0.35562	non-HFC
DcoA	61050000	0.3674	non-HFC
DcoA	61150000	0.37109	non-HFC
DcoA	61250000	0.3498	non-HFC
DcoA	61350000	0.36288	non-HFC
DcoA	61450000	0.35949	non-HFC
DcoA	61550000	0.36008	non-HFC
DcoA	61650000	0.35743	non-HFC
DcoA	61750000	0.35417	non-HFC
DcoA	61850000	0.3633667334669339	non-HFC
DcoA	61950000	0.34652	non-HFC
DcoA	62050000	0.35806	non-HFC
DcoA	62150000	0.38361	non-HFC
DcoA	62250000	0.36897	non-HFC
DcoA	62350000	0.38213	non-HFC
DcoA	62450000	0.37235	non-HFC
DcoA	62550000	0.37989	non-HFC
DcoA	62650000	0.37281	non-HFC
DcoA	62750000	0.37756	non-HFC
DcoA	62850000	0.39036	non-HFC
DcoA	62950000	0.38227	non-HFC
DcoA	63050000	0.3762	non-HFC
DcoA	63150000	0.38005	non-HFC
DcoA	63250000	0.38121	non-HFC
DcoA	63350000	0.39041	non-HFC
DcoA	63450000	0.37937	non-HFC
DcoA	63550000	0.37899	non-HFC
DcoA	63650000	0.3814629258517034	non-HFC
DcoA	63750000	0.37207	non-HFC
DcoA	63850000	0.38173	non-HFC
DcoA	63950000	0.3772	non-HFC
DcoA	64050000	0.38854	non-HFC
DcoA	64150000	0.3871743486973948	non-HFC
DcoA	64250000	0.3784	non-HFC
DcoA	64350000	0.37026	non-HFC
DcoA	64450000	0.36899	non-HFC
DcoA	64550000	0.38425	non-HFC
DcoA	64650000	0.38737	non-HFC
DcoA	64750000	0.37635	non-HFC
DcoA	64850000	0.37814	non-HFC
DcoA	64950000	0.37933	non-HFC
DcoA	65050000	0.38007	non-HFC
DcoA	65150000	0.37352	non-HFC
DcoA	65250000	0.3801	non-HFC
DcoA	65350000	0.38242	non-HFC
DcoA	65450000	0.37215	non-HFC
DcoA	65550000	0.37929	non-HFC
DcoA	65650000	0.37093	non-HFC
DcoA	65750000	0.38416	non-HFC
DcoA	65850000	0.38139	non-HFC
DcoA	65950000	0.37309	non-HFC
DcoA	66050000	0.38994	non-HFC
DcoA	66150000	0.37653	non-HFC
DcoA	66250000	0.37097	non-HFC
DcoA	66350000	0.3721943887775551	non-HFC
DcoA	66450000	0.35987	non-HFC
DcoA	66550000	0.36477	non-HFC
DcoA	66650000	0.3587	non-HFC
DcoA	66750000	0.3717	non-HFC
DcoA	66850000	0.37176	non-HFC
DcoA	66950000	0.35664	non-HFC
DcoA	67050000	0.36688	non-HFC
DcoA	67150000	0.35717	non-HFC
DcoA	67250000	0.35985	non-HFC
DcoA	67350000	0.3562	non-HFC
DcoA	67450000	0.3534	non-HFC
DcoA	67550000	0.35646	non-HFC
DcoA	67650000	0.3738	non-HFC
DcoA	67750000	0.35327	non-HFC
DcoA	67850000	0.34956	non-HFC
DcoA	67950000	0.36273	non-HFC
DcoA	68050000	0.36348	non-HFC
DcoA	68150000	0.36429	non-HFC
DcoA	68250000	0.37353	non-HFC
DcoA	68350000	0.35394	non-HFC
DcoA	68450000	0.35713	non-HFC
DcoA	68550000	0.35559	non-HFC
DcoA	68650000	0.36376	non-HFC
DcoA	68750000	0.35709	non-HFC
DcoA	68850000	0.36021	non-HFC
DcoA	68950000	0.36589	non-HFC
DcoA	69050000	0.40588	HFC
DcoA	69150000	0.3942	HFC
DcoA	69250000	0.43762	HFC
DcoA	69350000	0.42194	HFC
DcoA	69450000	0.37186	HFC
DcoA	69550000	0.35663	HFC
DcoA	69650000	0.35705	HFC
DcoA	69750000	0.3654	HFC
DcoA	69850000	0.36396	HFC
DcoA	69950000	0.39983	HFC
DcoA	70050000	0.41088	HFC
DcoA	70150000	0.41199	HFC
DcoA	70250000	0.42134	HFC
DcoA	70350000	0.41728	HFC
DcoA	70450000	0.39174	HFC
DcoA	70550000	0.37783	HFC
DcoA	70650000	0.3631	HFC
DcoA	70750000	0.37166	HFC
DcoA	70850000	0.36971	HFC
DcoA	70950000	0.35928	HFC
DcoA	71050000	0.35233	HFC
DcoA	71150000	0.36784	HFC
