chromosome	coordinate	repeat_density	HFC
DcoA	9950000	0.10313	HFC
DcoA	10050000	0.0518	HFC
DcoA	10150000	0.07429	HFC
DcoA	10250000	0.08975	HFC
DcoA	10350000	0.03056	HFC
DcoA	10450000	0.08148	HFC
DcoA	10550000	0.04412	HFC
DcoA	10650000	0.10382	HFC
DcoA	10750000	0.03796593186372745	HFC
DcoA	10850000	0.14115	HFC
DcoA	10950000	0.03596	HFC
DcoA	11050000	0.08269	HFC
DcoA	11150000	0.11427	HFC
DcoA	11250000	0.07979	HFC
DcoA	11350000	0.06094	HFC
DcoA	11450000	0.11494	HFC
DcoA	11550000	0.0993	HFC
DcoA	11650000	0.06781	HFC
DcoA	11750000	0.11719	HFC
DcoA	11850000	0.27494	HFC
DcoA	11950000	0.09019	HFC
DcoA	12050000	0.08025	non-HFC
DcoA	12150000	0.09095	non-HFC
DcoA	12250000	0.10276	non-HFC
DcoA	12350000	0.17726	non-HFC
DcoA	12450000	0.07652	non-HFC
DcoA	12550000	0.04346	non-HFC
DcoA	12650000	0.10739	non-HFC
DcoA	12750000	0.04684	non-HFC
DcoA	12850000	0.06776	non-HFC
DcoA	12950000	0.04401	non-HFC
DcoA	13050000	0.0938	non-HFC
DcoA	13150000	0.14581	non-HFC
DcoA	13250000	0.10689	non-HFC
DcoA	13350000	0.16992	non-HFC
DcoA	13450000	0.06509	non-HFC
DcoA	13550000	0.08895	non-HFC
DcoA	13650000	0.07963	non-HFC
DcoA	13750000	0.06709	non-HFC
DcoA	13850000	0.09373	non-HFC
DcoA	13950000	0.10341	non-HFC
DcoA	14050000	0.0376	non-HFC
DcoA	14150000	0.06207	non-HFC
DcoA	14250000	0.06323	non-HFC
DcoA	14350000	0.07485	non-HFC
DcoA	14450000	0.06175	non-HFC
DcoA	14550000	0.10432	non-HFC
DcoA	14650000	0.1119	non-HFC
DcoA	14750000	0.1037	non-HFC
DcoA	14850000	0.09911	non-HFC
DcoA	14950000	0.22879759519038076	non-HFC
DcoA	15050000	0.27027	non-HFC
DcoA	15150000	0.12719	non-HFC
DcoA	15250000	0.08563	non-HFC
DcoA	15350000	0.08305	non-HFC
DcoA	15450000	0.36955911823647297	non-HFC
DcoA	15550000	0.15965	non-HFC
DcoA	15650000	0.13025	non-HFC
DcoA	15750000	0.09178	non-HFC
DcoA	15850000	0.16445	non-HFC
DcoA	15950000	0.17704	non-HFC
DcoA	16050000	0.1223	non-HFC
DcoA	16150000	0.13374	non-HFC
DcoA	16250000	0.17476	non-HFC
DcoA	16350000	0.10239	non-HFC
DcoA	16450000	0.18054	non-HFC
DcoA	16550000	0.11466	non-HFC
DcoA	16650000	0.1275	non-HFC
DcoA	16750000	0.11719	non-HFC
DcoA	16850000	0.19686	non-HFC
DcoA	16950000	0.30085	non-HFC
DcoA	17050000	0.2494	non-HFC
DcoA	17150000	0.17297	non-HFC
DcoA	17250000	0.12862	non-HFC
DcoA	17350000	0.18768	non-HFC
DcoA	17450000	0.07554	non-HFC
DcoA	17550000	0.21558	non-HFC
DcoA	17650000	0.11724	non-HFC
DcoA	17750000	0.35122	non-HFC
DcoA	17850000	0.19958917835671341	non-HFC
DcoA	17950000	0.11409	non-HFC
DcoA	18050000	0.13807	non-HFC
DcoA	18150000	0.26526	non-HFC
DcoA	18250000	0.10373	non-HFC
DcoA	18350000	0.12966	non-HFC
DcoA	18450000	0.10304	non-HFC
DcoA	18550000	0.12269	non-HFC
DcoA	18650000	0.10167	non-HFC
DcoA	18750000	0.12451	non-HFC
DcoA	18850000	0.25192	non-HFC
DcoA	18950000	0.15727	non-HFC
DcoA	19050000	0.20636	non-HFC
DcoA	19150000	0.21114	non-HFC
DcoA	19250000	0.21652304609218437	non-HFC
DcoA	19350000	0.10473	non-HFC
DcoA	19450000	0.19476	non-HFC
DcoA	19550000	0.16701	non-HFC
DcoA	19650000	0.11432	non-HFC
DcoA	19750000	0.14843	non-HFC
DcoA	19850000	0.14428	non-HFC
DcoA	19950000	0.19161	non-HFC
DcoA	20050000	0.08317	non-HFC
DcoA	20150000	0.12517	non-HFC
DcoA	20250000	0.2138	non-HFC
DcoA	20350000	0.18849	non-HFC
DcoA	20450000	0.08961	non-HFC
DcoA	20550000	0.23812	non-HFC
DcoA	20650000	0.44439	non-HFC
DcoA	20750000	0.26953	non-HFC
DcoA	20850000	0.07153	non-HFC
DcoA	20950000	0.21511	non-HFC
DcoA	21050000	0.22421	non-HFC
DcoA	21150000	0.14284	non-HFC
DcoA	21250000	0.16429	non-HFC
DcoA	21350000	0.16339	non-HFC
DcoA	21450000	0.06391	non-HFC
DcoA	21550000	0.29503	non-HFC
DcoA	21650000	0.13644	non-HFC
DcoA	21750000	0.09909	non-HFC
DcoA	21850000	0.02662	non-HFC
DcoA	21950000	0.1604	non-HFC
DcoA	22050000	0.07985	non-HFC
DcoA	22150000	0.12024	non-HFC
DcoA	22250000	0.0835	non-HFC
DcoA	22350000	0.20274	non-HFC
DcoA	22450000	0.05002	non-HFC
DcoA	22550000	0.17895	non-HFC
DcoA	22650000	0.11414	non-HFC
DcoA	22750000	0.05098	non-HFC
DcoA	22850000	0.08336	non-HFC
DcoA	22950000	0.08512	non-HFC
DcoA	23050000	0.09025	non-HFC
DcoA	23150000	0.06224	non-HFC
DcoA	23250000	0.16074	non-HFC
DcoA	23350000	0.06005	non-HFC
DcoA	23450000	0.07408	non-HFC
DcoA	23550000	0.04258	non-HFC
DcoA	23650000	0.03296	non-HFC
DcoA	23750000	0.06753	non-HFC
DcoA	23850000	0.07212	non-HFC
DcoA	23950000	0.11905	non-HFC
DcoA	24050000	0.04155	non-HFC
DcoA	24150000	0.17508	non-HFC
DcoA	24250000	0.0544	non-HFC
DcoA	24350000	0.05932	non-HFC
DcoA	24450000	0.0518	non-HFC
DcoA	24550000	0.11186	HFC
DcoA	24650000	0.03423	HFC
DcoA	24750000	0.05237	HFC
DcoA	24850000	0.02166	HFC
DcoA	24950000	0.04568	HFC
DcoA	25050000	0.08408817635270541	HFC
DcoA	25150000	0.09028	HFC
DcoA	25250000	0.27459	HFC
DcoA	25350000	0.23707	HFC
DcoA	25450000	0.18924	HFC
DcoA	25550000	0.18054	HFC
DcoA	25650000	0.17661	HFC
DcoA	25750000	0.08467	HFC
DcoA	25850000	0.16448	HFC
DcoA	25950000	0.07993	HFC
DcoA	26050000	0.03448	HFC
DcoA	26150000	0.07811	HFC
DcoA	26250000	0.0403	HFC
DcoA	26350000	0.09955	HFC
DcoA	26450000	0.0514	HFC
DcoA	26550000	0.08077	HFC
DcoA	26650000	0.16841	HFC
DcoA	26750000	0.20121	HFC
DcoA	26850000	0.05754	HFC
DcoA	26950000	0.10626	HFC
DcoA	27050000	0.10554	HFC
DcoA	27150000	0.0338	HFC
DcoA	27250000	0.12432	HFC
DcoA	27350000	0.12276553106212425	HFC
DcoA	27450000	0.12963	HFC
DcoA	27550000	0.12725	non-HFC
DcoA	27650000	0.04212	non-HFC
DcoA	27750000	0.07351	non-HFC
DcoA	27850000	0.091	non-HFC
DcoA	27950000	0.07799	non-HFC
DcoA	28050000	0.03538	non-HFC
DcoA	28150000	0.09133	non-HFC
DcoA	28250000	0.09776	non-HFC
DcoA	28350000	0.17328	non-HFC
DcoA	28450000	0.04744	non-HFC
DcoA	28550000	0.0312	non-HFC
DcoA	28650000	0.15972	non-HFC
DcoA	28750000	0.08050100200400802	non-HFC
DcoA	28850000	0.10908	non-HFC
DcoA	28950000	0.11345	non-HFC
DcoA	29050000	0.03254	non-HFC
DcoA	29150000	0.12508	non-HFC
DcoA	29250000	0.08048	non-HFC
DcoA	29350000	0.20812	non-HFC
DcoA	29450000	0.09608	non-HFC
DcoA	29550000	0.11306	non-HFC
DcoA	29650000	0.23855	non-HFC
DcoA	29750000	0.11244	non-HFC
DcoA	29850000	0.1306	non-HFC
DcoA	29950000	0.09137	non-HFC
DcoA	30050000	0.18437	non-HFC
DcoA	30150000	0.20295	non-HFC
DcoA	30250000	0.16218	non-HFC
DcoA	30350000	0.0702	non-HFC
DcoA	30450000	0.10333	non-HFC
DcoA	30550000	0.10406	non-HFC
DcoA	30650000	0.09024	non-HFC
DcoA	30750000	0.03072	non-HFC
DcoA	30850000	0.39775	non-HFC
DcoA	30950000	0.10589	non-HFC
DcoA	31050000	0.17399	non-HFC
DcoA	31150000	0.1488	non-HFC
DcoA	31250000	0.23008	non-HFC
DcoA	31350000	0.13073	non-HFC
DcoA	31450000	0.0634	non-HFC
DcoA	31550000	0.09717	non-HFC
DcoA	31650000	0.1592	non-HFC
DcoA	31750000	0.38735	non-HFC
DcoA	31850000	0.12226	non-HFC
DcoA	31950000	0.18346	non-HFC
DcoA	32050000	0.14441	non-HFC
DcoA	32150000	0.13024	non-HFC
DcoA	32250000	0.03016	non-HFC
DcoA	32350000	0.32223	non-HFC
DcoA	32450000	0.12305	non-HFC
DcoA	32550000	0.11472	non-HFC
DcoA	32650000	0.12112	non-HFC
DcoA	32750000	0.07564	non-HFC
DcoA	32850000	0.06434	non-HFC
DcoA	32950000	0.17133	non-HFC
DcoA	33050000	0.21105	non-HFC
DcoA	33150000	0.14159	non-HFC
DcoA	33250000	0.16216	non-HFC
DcoA	33350000	0.19181	non-HFC
DcoA	33450000	0.12022	non-HFC
DcoA	33550000	0.07577	non-HFC
DcoA	33650000	0.17517	non-HFC
DcoA	33750000	0.17223	non-HFC
DcoA	33850000	0.13434	non-HFC
DcoA	33950000	0.06689	non-HFC
DcoA	34050000	0.17127	non-HFC
DcoA	34150000	0.06185	non-HFC
DcoA	34250000	0.12289	non-HFC
DcoA	34350000	0.25716	non-HFC
DcoA	34450000	0.06989	non-HFC
DcoA	34550000	0.14715	non-HFC
DcoA	34650000	0.18351	non-HFC
DcoA	34750000	0.13276	non-HFC
DcoA	34850000	0.17667	non-HFC
DcoA	34950000	0.1635	non-HFC
DcoA	35050000	0.2233	non-HFC
DcoA	35150000	0.12712	non-HFC
DcoA	35250000	0.12224	non-HFC
DcoA	35350000	0.17120240480961924	non-HFC
DcoA	35450000	0.19161	non-HFC
DcoA	35550000	0.56124	non-HFC
DcoA	35650000	0.03962	non-HFC
DcoA	35750000	0.08068	non-HFC
DcoA	35850000	0.18319	non-HFC
DcoA	35950000	0.08203	non-HFC
DcoA	36050000	0.03145	non-HFC
DcoA	36150000	0.20624	non-HFC
DcoA	36250000	0.12515	non-HFC
DcoA	36350000	0.04516	non-HFC
DcoA	36450000	0.17807	non-HFC
DcoA	36550000	0.05658	HFC
DcoA	36650000	0.07079	HFC
DcoA	36750000	0.38638	HFC
DcoA	36850000	0.1018	HFC
DcoA	36950000	0.05782	HFC
DcoA	37050000	0.11691	HFC
DcoA	37150000	0.17639	HFC
DcoA	37250000	0.28674	HFC
DcoA	37350000	0.0838	HFC
DcoA	37450000	0.08303	HFC
DcoA	37550000	0.08241	HFC
DcoA	37650000	0.11136	HFC
DcoA	37750000	0.0461	HFC
DcoA	37850000	0.25192	HFC
DcoA	37950000	0.11589	HFC
DcoA	38050000	0.17736	HFC
DcoA	38150000	0.06924	HFC
DcoA	38250000	0.18043	HFC
DcoA	38350000	0.1081	HFC
DcoA	38450000	0.16852	HFC
DcoA	38550000	0.2746	HFC
DcoA	38650000	0.04112	HFC
DcoA	38750000	0.07641	HFC
DcoA	38850000	0.15572	HFC
DcoA	38950000	0.14547	HFC
DcoA	39050000	0.13332	HFC
DcoA	39150000	0.05325	HFC
DcoA	39250000	0.11086	HFC
DcoA	39350000	0.15616	HFC
DcoA	39450000	0.07299	HFC
DcoA	39550000	0.1527	non-HFC
DcoA	39650000	0.17603	non-HFC
DcoA	39750000	0.07289	non-HFC
DcoA	39850000	0.09551	non-HFC
DcoA	39950000	0.10549	non-HFC
DcoA	40050000	0.07532	non-HFC
DcoA	40150000	0.09903	non-HFC
DcoA	40250000	0.09338	non-HFC
DcoA	40350000	0.15393	non-HFC
DcoA	40450000	0.13084	non-HFC
DcoA	40550000	0.14401	non-HFC
DcoA	40650000	0.14782	non-HFC
DcoA	40750000	0.23179	non-HFC
DcoA	40850000	0.08467	non-HFC
DcoA	40950000	0.11188	non-HFC
DcoA	41050000	0.36463	non-HFC
DcoA	41150000	0.08735	non-HFC
DcoA	41250000	0.06045	non-HFC
DcoA	41350000	0.10117	non-HFC
DcoA	41450000	0.09072	non-HFC
DcoA	41550000	0.07746	non-HFC
DcoA	41650000	0.14295	non-HFC
DcoA	41750000	0.0834	non-HFC
DcoA	41850000	0.10913	non-HFC
DcoA	41950000	0.13264	non-HFC
DcoA	42050000	0.05647	non-HFC
DcoA	42150000	0.08244	non-HFC
DcoA	42250000	0.08081	non-HFC
DcoA	42350000	0.10853	non-HFC
DcoA	42450000	0.13487	non-HFC
DcoA	42550000	0.05226	non-HFC
DcoA	42650000	0.14637	non-HFC
DcoA	42750000	0.11217	non-HFC
DcoA	42850000	0.07772	non-HFC
DcoA	42950000	0.14905	non-HFC
DcoA	43050000	0.10746	non-HFC
DcoA	43150000	0.16666	non-HFC
DcoA	43250000	0.19275	non-HFC
DcoA	43350000	0.12525	non-HFC
DcoA	43450000	0.14175350701402806	non-HFC
DcoA	43550000	0.02479	non-HFC
DcoA	43650000	0.15283	non-HFC
DcoA	43750000	0.13278	non-HFC
DcoA	43850000	0.16792	non-HFC
DcoA	43950000	0.16686	non-HFC
DcoA	44050000	0.18083	non-HFC
DcoA	44150000	0.43596	non-HFC
DcoA	44250000	0.03265	non-HFC
DcoA	44350000	0.14193	non-HFC
DcoA	44450000	0.03435	non-HFC
DcoA	44550000	0.07886	HFC
DcoA	44650000	0.17602	HFC
DcoA	44750000	0.04207	HFC
DcoA	44850000	0.06429	HFC
DcoA	44950000	0.07702	HFC
DcoA	45050000	0.0671	HFC
DcoA	45150000	0.08527	HFC
DcoA	45250000	0.16089	HFC
DcoA	45350000	0.30089	HFC
DcoA	45450000	0.09164	HFC
DcoA	45550000	0.13332	HFC
DcoA	45650000	0.05805	HFC
DcoA	45750000	0.05203	HFC
DcoA	45850000	0.13169	HFC
DcoA	45950000	0.03637	HFC
DcoA	46050000	0.08731	HFC
DcoA	46150000	0.06513	HFC
DcoA	46250000	0.23412	HFC
DcoA	46350000	0.12783	HFC
DcoA	46450000	0.13928	HFC
DcoA	46550000	0.06907	HFC
DcoA	46650000	0.11396	HFC
DcoA	46750000	0.07126	HFC
DcoA	46850000	0.041	HFC
DcoA	46950000	0.16725	HFC
DcoA	47050000	0.12117	HFC
DcoA	47150000	0.03871	HFC
DcoA	47250000	0.04712	HFC
DcoA	47350000	0.0863	HFC
DcoA	47450000	0.06173	HFC
DcoA	47550000	0.04845	non-HFC
DcoA	47650000	0.07017034068136273	non-HFC
DcoA	47750000	0.10997	non-HFC
DcoA	47850000	0.08955	non-HFC
DcoA	47950000	0.10632	non-HFC
DcoA	48050000	0.17752	non-HFC
DcoA	48150000	0.07685	non-HFC
DcoA	48250000	0.07362	non-HFC
DcoA	48350000	0.12892	non-HFC
DcoA	48450000	0.07768	non-HFC
DcoA	48550000	0.12714	non-HFC
DcoA	48650000	0.09933	non-HFC
DcoA	48750000	0.1685	non-HFC
DcoA	48850000	0.09374	non-HFC
DcoA	48950000	0.0596	non-HFC
DcoA	49050000	0.1499	non-HFC
DcoA	49150000	0.22056	non-HFC
DcoA	49250000	0.20613	non-HFC
DcoA	49350000	0.07584	non-HFC
DcoA	49450000	0.1529	non-HFC
DcoA	49550000	0.14773547094188377	non-HFC
DcoA	49650000	0.11865	non-HFC
DcoA	49750000	0.10423	non-HFC
DcoA	49850000	0.04075	non-HFC
DcoA	49950000	0.13018	non-HFC
DcoA	50050000	0.10586	non-HFC
DcoA	50150000	0.11456	non-HFC
DcoA	50250000	0.08785	non-HFC
DcoA	50350000	0.09643	non-HFC
DcoA	50450000	0.1322	non-HFC
DcoA	50550000	0.11443	non-HFC
DcoA	50650000	0.27274	non-HFC
DcoA	50750000	0.10075	non-HFC
DcoA	50850000	0.14931	non-HFC
DcoA	50950000	0.26525	non-HFC
DcoA	51050000	0.2086	non-HFC
DcoA	51150000	0.15994	non-HFC
DcoA	51250000	0.12347	non-HFC
DcoA	51350000	0.14002	non-HFC
DcoA	51450000	0.06742	non-HFC
DcoA	51550000	0.3621	non-HFC
DcoA	51650000	0.0926	non-HFC
DcoA	51750000	0.08951	non-HFC
DcoA	51850000	0.2403	non-HFC
DcoA	51950000	0.12481	non-HFC
DcoA	52050000	0.20417	non-HFC
DcoA	52150000	0.09794	non-HFC
DcoA	52250000	0.07088	non-HFC
DcoA	52350000	0.20403	non-HFC
DcoA	52450000	0.18461	non-HFC
DcoA	52550000	0.13389	non-HFC
DcoA	52650000	0.23683	non-HFC
DcoA	52750000	0.14083	non-HFC
DcoA	52850000	0.18272	non-HFC
DcoA	52950000	0.08104	non-HFC
DcoA	53050000	0.33433	non-HFC
DcoA	53150000	0.13518	non-HFC
DcoA	53250000	0.14076	non-HFC
DcoA	53350000	0.11588	non-HFC
DcoA	53450000	0.08433	non-HFC
DcoA	53550000	0.09698	non-HFC
DcoA	53650000	0.13778	non-HFC
DcoA	53750000	0.42174	non-HFC
DcoA	53850000	0.1744	non-HFC
DcoA	53950000	0.26735	non-HFC
DcoA	54050000	0.24755	non-HFC
DcoA	54150000	0.11468	non-HFC
DcoA	54250000	0.21935	non-HFC
DcoA	54350000	0.08099	non-HFC
DcoA	54450000	0.12056	non-HFC
DcoA	54550000	0.12898	non-HFC
DcoA	54650000	0.30664	non-HFC
DcoA	54750000	0.08901	non-HFC
DcoA	54850000	0.31788	non-HFC
DcoA	54950000	0.14059	non-HFC
DcoA	55050000	0.12976	non-HFC
DcoA	55150000	0.1959	non-HFC
DcoA	55250000	0.09003	non-HFC
DcoA	55350000	0.17628	non-HFC
DcoA	55450000	0.14984	non-HFC
DcoA	55550000	0.13118	non-HFC
DcoA	55650000	0.1886	non-HFC
DcoA	55750000	0.1867	non-HFC
DcoA	55850000	0.1696	non-HFC
DcoA	55950000	0.19821	non-HFC
DcoA	56050000	0.11842685370741483	non-HFC
DcoA	56150000	0.05553	non-HFC
DcoA	56250000	0.11328	non-HFC
DcoA	56350000	0.0381	non-HFC
DcoA	56450000	0.01951	non-HFC
DcoA	56550000	0.19485	HFC
DcoA	56650000	0.13489	HFC
DcoA	56750000	0.05718	HFC
DcoA	56850000	0.07609	HFC
DcoA	56950000	0.07203	HFC
DcoA	57050000	0.09958	HFC
DcoA	57150000	0.13262	HFC
DcoA	57250000	0.06796	HFC
DcoA	57350000	0.14378	HFC
DcoA	57450000	0.15729	HFC
DcoA	57550000	0.06095	HFC
DcoA	57650000	0.15888	HFC
DcoA	57750000	0.03967	HFC
DcoA	57850000	0.05465	HFC
DcoA	57950000	0.1343	HFC
DcoA	58050000	0.11481	HFC
DcoA	58150000	0.10792	HFC
DcoA	58250000	0.05442	HFC
DcoA	58350000	0.08228	HFC
DcoA	58450000	0.08404	HFC
DcoA	58550000	0.15838	HFC
DcoA	58650000	0.20717	HFC
DcoA	58750000	0.10485	HFC
DcoA	58850000	0.24641	HFC
DcoA	58950000	0.13906	HFC
DcoA	59050000	0.10026	HFC
DcoA	59150000	0.13618	HFC
DcoA	59250000	0.13024	HFC
DcoA	59350000	0.0524	HFC
DcoA	59450000	0.1074	HFC
DcoA	59550000	0.08485	non-HFC
DcoA	59650000	0.10846	non-HFC
DcoA	59750000	0.04988	non-HFC
DcoA	59850000	0.03936	non-HFC
DcoA	59950000	0.19834	non-HFC
DcoA	60050000	0.06359	non-HFC
DcoA	60150000	0.09663	non-HFC
DcoA	60250000	0.07075	non-HFC
DcoA	60350000	0.05107	non-HFC
DcoA	60450000	0.07923	non-HFC
DcoA	60550000	0.07239478957915832	non-HFC
DcoA	60650000	0.04036	non-HFC
DcoA	60750000	0.10168	non-HFC
DcoA	60850000	0.07691382765531062	non-HFC
DcoA	60950000	0.1035	non-HFC
DcoA	61050000	0.1499	non-HFC
DcoA	61150000	0.08976	non-HFC
DcoA	61250000	0.0634	non-HFC
DcoA	61350000	0.0571	non-HFC
DcoA	61450000	0.06089	non-HFC
DcoA	61550000	0.33404	non-HFC
DcoA	61650000	0.12989	non-HFC
DcoA	61750000	0.05365	non-HFC
DcoA	61850000	0.08666332665330662	non-HFC
DcoA	61950000	0.27347	non-HFC
DcoA	62050000	0.07828	non-HFC
DcoA	62150000	0.02434	non-HFC
DcoA	62250000	0.1094	non-HFC
DcoA	62350000	0.10342	non-HFC
DcoA	62450000	0.10214	non-HFC
DcoA	62550000	0.18591	non-HFC
DcoA	62650000	0.1046	non-HFC
DcoA	62750000	0.19714	non-HFC
DcoA	62850000	0.30437	non-HFC
DcoA	62950000	0.15506	non-HFC
DcoA	63050000	0.18828	non-HFC
DcoA	63150000	0.1162	non-HFC
DcoA	63250000	0.24797	non-HFC
DcoA	63350000	0.16516	non-HFC
DcoA	63450000	0.19867	non-HFC
DcoA	63550000	0.12199	non-HFC
DcoA	63650000	0.07697394789579158	non-HFC
DcoA	63750000	0.17154	non-HFC
DcoA	63850000	0.08228	non-HFC
DcoA	63950000	0.18644	non-HFC
DcoA	64050000	0.11617	non-HFC
DcoA	64150000	0.18339679358717434	non-HFC
DcoA	64250000	0.11388	non-HFC
DcoA	64350000	0.21553	non-HFC
DcoA	64450000	0.13337	non-HFC
DcoA	64550000	0.16343	non-HFC
DcoA	64650000	0.08384	non-HFC
DcoA	64750000	0.13158	non-HFC
DcoA	64850000	0.15324	non-HFC
DcoA	64950000	0.13162	non-HFC
DcoA	65050000	0.13785	non-HFC
DcoA	65150000	0.15142	non-HFC
DcoA	65250000	0.31436	non-HFC
DcoA	65350000	0.14584	non-HFC
DcoA	65450000	0.17371	non-HFC
DcoA	65550000	0.25885	non-HFC
DcoA	65650000	0.24613	non-HFC
DcoA	65750000	0.08914	non-HFC
DcoA	65850000	0.18174	non-HFC
DcoA	65950000	0.14394	non-HFC
DcoA	66050000	0.06299	non-HFC
DcoA	66150000	0.16018	non-HFC
DcoA	66250000	0.05549	non-HFC
DcoA	66350000	0.1048496993987976	non-HFC
DcoA	66450000	0.12841	non-HFC
DcoA	66550000	0.18185	non-HFC
DcoA	66650000	0.10393	non-HFC
DcoA	66750000	0.06025	non-HFC
DcoA	66850000	0.08342	non-HFC
DcoA	66950000	0.22443	non-HFC
DcoA	67050000	0.11323	non-HFC
DcoA	67150000	0.10401	non-HFC
DcoA	67250000	0.29722	non-HFC
DcoA	67350000	0.09943	non-HFC
DcoA	67450000	0.06858	non-HFC
DcoA	67550000	0.07378	non-HFC
DcoA	67650000	0.13026	non-HFC
DcoA	67750000	0.07538	non-HFC
DcoA	67850000	0.07593	non-HFC
DcoA	67950000	0.11238	non-HFC
DcoA	68050000	0.11715	non-HFC
DcoA	68150000	0.11547	non-HFC
DcoA	68250000	0.06055	non-HFC
DcoA	68350000	0.13594	non-HFC
DcoA	68450000	0.06172	non-HFC
DcoA	68550000	0.06511	non-HFC
DcoA	68650000	0.07037	non-HFC
DcoA	68750000	0.04506	non-HFC
DcoA	68850000	0.14668	non-HFC
DcoA	68950000	0.06397	non-HFC
DcoA	69050000	0.0855	HFC
DcoA	69150000	0.04184	HFC
DcoA	69250000	0.39209	HFC
DcoA	69350000	0.05083	HFC
DcoA	69450000	0.0413	HFC
DcoA	69550000	0.06251	HFC
DcoA	69650000	0.05402	HFC
DcoA	69750000	0.10099	HFC
DcoA	69850000	0.04144	HFC
DcoA	69950000	0.09044	HFC
DcoA	70050000	0.14865	HFC
DcoA	70150000	0.16804	HFC
DcoA	70250000	0.14487	HFC
DcoA	70350000	0.14682	HFC
DcoA	70450000	0.0592	HFC
DcoA	70550000	0.07572	HFC
DcoA	70650000	0.13599	HFC
DcoA	70750000	0.08518	HFC
DcoA	70850000	0.16237	HFC
DcoA	70950000	0.13159	HFC
DcoA	71050000	0.06055	HFC
