scaffold_position	fraction_NlaIII
17650000	0.0116
17750000	0.0058
17850000	0.01228
17950000	0.01216
18050000	0.0114
18150000	0.01148
18250000	0.01216
18350000	0.01216
18450000	0.01044
18550000	0.01264
18650000	0.012
18750000	0.01068
18850000	0.01208
18950000	0.0124
19050000	0.01124
19150000	0.01296
19250000	0.0128
19350000	0.0128
19450000	0.01248
19550000	0.01216
19650000	0.01212
19750000	0.01062124248496994
19850000	0.01172
19950000	0.01164
20050000	0.01252
20150000	0.01172
20250000	0.01152
20350000	0.01128
20450000	0.01168
20550000	0.01228
20650000	0.01108
20750000	0.01216
20850000	0.01132
20950000	0.01232
21050000	0.01236
21150000	0.0118
21250000	0.01212
21350000	0.01296
21450000	0.01156
21550000	0.01144
21650000	0.01036
21750000	0.01144
21850000	0.01104
21950000	0.01228
22050000	0.01332
22150000	0.01236
22250000	0.01204
22350000	0.01156
22450000	0.01172
22550000	0.0114
22650000	0.01256
22750000	0.01128
22850000	0.01192
22950000	0.0126
23050000	0.0108
23150000	0.01204
23250000	0.0124
23350000	0.01216
23450000	0.01236
23550000	0.013266533066132265
23650000	0.01032
23750000	0.0118
23850000	0.01176
23950000	0.01168
24050000	0.01256
24150000	0.01236
24250000	0.01148
24350000	0.01268
24450000	0.01328
24550000	0.0114
24650000	0.01116
24750000	0.01116
24850000	0.01308
24950000	0.01168
25050000	0.01192
25150000	0.01044
25250000	0.00792
25350000	0.01148
25450000	0.01184
25550000	0.01176
25650000	0.0116
25750000	0.01236
25850000	0.01092
25950000	0.01188
26050000	0.01168
26150000	0.01136
26250000	0.01032
26350000	0.0118
26450000	0.0102
26550000	0.0102
26650000	0.01192
26750000	0.01104
26850000	0.01272
26950000	0.01272
27050000	0.01168
27150000	0.01196
27250000	0.01048
27350000	0.01144
27450000	0.0114
27550000	0.0124
27650000	0.01224
27750000	0.01236
27850000	0.01068
27950000	0.01196
28050000	0.01144
28150000	0.01316
28250000	0.0112
28350000	0.01368
28450000	0.011285140562248996
28550000	0.01112
28650000	0.01268
28750000	0.0088
28850000	0.00964
28950000	0.01232
29050000	0.0082
29150000	0.00944
29250000	0.00984
29350000	0.01096
29450000	0.01044
29550000	0.00972
29650000	0.0128
29750000	0.01116
29850000	0.01164
29950000	0.01164
30050000	0.011
30150000	0.01028
30250000	0.01152
30350000	0.01136
30450000	0.00996
30550000	0.0124
30650000	0.0128
30750000	0.01056
30850000	0.01064
30950000	0.0118
31050000	0.01108
31150000	0.01192
31250000	0.01236
31350000	0.0118
31450000	0.0116
31550000	0.01136
31650000	0.01148
31750000	0.01216
31850000	0.01256
31950000	0.0128
32050000	0.00896
32150000	0.0102
32250000	0.01212
32350000	0.01128
32450000	0.00992
32550000	0.00996
32650000	0.01188
32750000	0.01192
32850000	0.01108
32950000	0.0094
33050000	0.01112
33150000	0.01124
33250000	0.01028
33350000	0.0112
33450000	0.01066132264529058
33550000	0.011
33650000	0.01008
33750000	0.01084
33850000	0.01172
33950000	0.011
34050000	0.0118
34150000	0.0114
34250000	0.01148
34350000	0.0098
34450000	0.01092
34550000	0.00736
34650000	0.01068
34750000	0.01184
34850000	0.00976
34950000	0.01232
35050000	0.01176
35150000	0.0104
35250000	0.01164
35350000	0.01216
35450000	0.01152
35550000	0.01212
35650000	0.01456
35750000	0.01296
35850000	0.01352
35950000	0.01268
36050000	0.0126
36150000	0.01152
36250000	0.01156
36350000	0.01188
36450000	0.01192
36550000	0.0118
36650000	0.01292
36750000	0.01212
36850000	0.012785571142284569
36950000	0.01324
37050000	0.00964
37150000	0.01284
37250000	0.01208
37350000	0.01308
37450000	0.01044
37550000	0.01084
37650000	0.01128
37750000	0.0104
37850000	0.00936
37950000	0.01172
38050000	0.01052
38150000	0.0116
38250000	0.01108
38350000	0.01004
38450000	0.01
38550000	0.01344
38650000	0.01412
38750000	0.01124
38850000	0.01052
38950000	0.01136
39050000	0.00976
39150000	0.01
39250000	0.00924
39350000	0.01088
39450000	0.00932
39550000	0.00928
39650000	0.00936
39750000	0.0116
39850000	0.00816
39950000	0.01116
40050000	0.00816
40150000	0.01172
40250000	0.00924
40350000	0.01272
40450000	0.00932
40550000	0.00932
40650000	0.00984
40750000	0.01268
40850000	0.01088
40950000	0.01168
41050000	0.01292
41150000	0.0126
41250000	0.01168
41350000	0.01028
41450000	0.01156
41550000	0.01072
41650000	0.01312
41750000	0.01152
41850000	0.01376
41950000	0.01244
42050000	0.01284
42150000	0.01384
42250000	0.01024
42350000	0.01076
42450000	0.01172
42550000	0.0116
42650000	0.01116
42750000	0.01148
42850000	0.01064
42950000	0.010701402805611222
43050000	0.01224
43150000	0.01244
43250000	0.01332
43350000	0.01164
43450000	0.01324
43550000	0.01152
43650000	0.01268
43750000	0.01192
43850000	0.01232
43950000	0.01252
44050000	0.0128
44150000	0.01288
44250000	0.01164
44350000	0.01244
44450000	0.01092
44550000	0.01172
44650000	0.01252
44750000	0.01332
44850000	0.01288
44950000	0.012
45050000	0.0114
45150000	0.01136
45250000	0.01244
45350000	0.0106
45450000	0.01076
45550000	0.01128
45650000	0.01384
45750000	0.01208
45850000	0.01188
45950000	0.0112625250501002
46050000	0.00924
46150000	0.01148
46250000	0.01096
46350000	0.00896
46450000	0.00948
46550000	0.00972
46650000	0.01356
46750000	0.01244
46850000	0.01216
46950000	0.0104
47050000	0.01012
47150000	0.01116
47250000	0.01008
47350000	0.01176
47450000	0.01104
47550000	0.01196
47650000	0.0122
47750000	0.012
47850000	0.01188
47950000	0.01132
48050000	0.01344
48150000	0.0128
48250000	0.01264
48350000	0.01164
48450000	0.01128
48550000	0.01012
48650000	0.01128
48750000	0.01168
48850000	0.00988
48950000	0.01008
49050000	0.01052
49150000	0.01204
49250000	0.01228
49350000	0.01136
49450000	0.0122
49550000	0.0108
49650000	0.0106
49750000	0.0102
49850000	0.01112
49950000	0.01152
50050000	0.01104
50150000	0.01096
50250000	0.01048
50350000	0.01116
50450000	0.01072
50550000	0.01156
50650000	0.01032
50750000	0.01192
50850000	0.0126
50950000	0.01104
51050000	0.0132
51150000	0.01132
51250000	0.01192
51350000	0.01024
51450000	0.0112
51550000	0.01148
51650000	0.01112
51750000	0.01196
51850000	0.01236
51950000	0.01176
52050000	0.01216
52150000	0.0114
52250000	0.01128
52350000	0.01248
52450000	0.01156
52550000	0.01048
52650000	0.0122
52750000	0.01232
52850000	0.01132
52950000	0.0114
53050000	0.01184
53150000	0.01128
53250000	0.01204
53350000	0.0114
53450000	0.01176
53550000	0.01276
53650000	0.01156
53750000	0.01248
53850000	0.0124
53950000	0.01272
54050000	0.01076
54150000	0.01168
54250000	0.01204
54350000	0.012785571142284569
54450000	0.01252
54550000	0.0132
54650000	0.01124
54750000	0.01188
54850000	0.0108
54950000	0.01156
55050000	0.01236
55150000	0.0118
55250000	0.01268
55350000	0.01128
55450000	0.01252
55550000	0.01256
55650000	0.01056
55750000	0.01168
55850000	0.01176
55950000	0.00996
56050000	0.01156
56150000	0.01156
56250000	0.01224
56350000	0.01032
56450000	0.01076
56550000	0.01164
56650000	0.0124
56750000	0.01336
56850000	0.0128
56950000	0.01156
57050000	0.01324
57150000	0.0116
57250000	0.01288
57350000	0.01324
57450000	0.0106
57550000	0.0128
57650000	0.00936
57750000	0.01152
57850000	0.01216
57950000	0.01128
58050000	0.011
58150000	0.01088
58250000	0.0096
58350000	0.01072
58450000	0.01148
58550000	0.0094
58650000	0.011
58750000	0.0086
58850000	0.00936
58950000	0.00908
59050000	0.0098
59150000	0.01048
59250000	0.0106
59350000	0.0114
59450000	0.01064
59550000	0.01288
59650000	0.01064
59750000	0.0112
59850000	0.00976
59950000	0.01252
60050000	0.01104
60150000	0.01156
60250000	0.01072
60350000	0.01084
60450000	0.00952
60550000	0.010741482965931864
60650000	0.01
60750000	0.01344
60850000	0.01176
60950000	0.01008
61050000	0.01236
61150000	0.01032
61250000	0.01332
61350000	0.01156
61450000	0.01084
61550000	0.01116
61650000	0.01088
61750000	0.012449799196787148
61850000	0.01084
61950000	0.01088
62050000	0.01092
62150000	0.01052
62250000	0.00912
62350000	0.0112
62450000	0.01208
62550000	0.0098
62650000	0.01104
62750000	0.01084
62850000	0.01084
62950000	0.01072
63050000	0.01032
63150000	0.01028
63250000	0.00924
63350000	0.00944
63450000	0.01116
63550000	0.01148
63650000	0.00972
63750000	0.01184
63850000	0.01188
63950000	0.01116
64050000	0.0108
64150000	0.0108
64250000	0.0088
64350000	0.01372
64450000	0.01164
64550000	0.01396
64650000	0.01248
64750000	0.0122
64850000	0.01124
64950000	0.01308
65050000	0.01176
65150000	0.01324
65250000	0.01184
65350000	0.01192
65450000	0.01228
65550000	0.0118
65650000	0.01144
65750000	0.0124
65850000	0.01232
65950000	0.01168
66050000	0.01144
66150000	0.01164
66250000	0.01232
66350000	0.0118
66450000	0.01152
66550000	0.01064
66650000	0.01064
66750000	0.01076
66850000	0.0132
66950000	0.0118
67050000	0.01232
67150000	0.0118
67250000	0.01136
67350000	0.01144
67450000	0.01132
67550000	0.01216
67650000	0.01128
67750000	0.01232
67850000	0.0112
67950000	0.0128
68050000	0.01176
68150000	0.01168
68250000	0.0108
68350000	0.01132
68450000	0.01172
68550000	0.01216
68650000	0.01296
68750000	0.01092
68850000	0.01284
68950000	0.011
69050000	0.01172
69150000	0.01068
69250000	0.01156
69350000	0.01088
69450000	0.01324
69550000	0.01192
69650000	0.01124
69750000	0.01196
69850000	0.01272
69950000	0.01144
70050000	0.01312
70150000	0.01112
70250000	0.01284
70350000	0.01288
70450000	0.01264
70550000	0.0118
70650000	0.01088
70750000	0.01112
70850000	0.012
70950000	0.01044
71050000	0.011
71150000	0.01204
71250000	0.01168
71350000	0.01128
71450000	0.01036
71550000	0.01176
71650000	0.01144
71750000	0.01336
71850000	0.0108
71950000	0.0066
72050000	0.0114
72150000	0.01036
72250000	0.0114
72350000	0.01144
72450000	0.01036
72550000	0.0104
72650000	0.0106
72750000	0.01176
72850000	0.01188
72950000	0.01212
73050000	0.01348
73150000	0.01144
73250000	0.01252
73350000	0.01112
73450000	0.01168
73550000	0.01096
73650000	0.01168
73750000	0.0102
73850000	0.01076
73950000	0.0108
74050000	0.01036
74150000	0.00936
74250000	0.01212
74350000	0.01056
74450000	0.00912
74550000	0.01236
74650000	0.01176
74750000	0.01124
74850000	0.01104
74950000	0.0118
75050000	0.01052
75150000	0.01152
75250000	0.01076
75350000	0.01052
75450000	0.01244
75550000	0.01128
75650000	0.01152
75750000	0.01156
75850000	0.01096
75950000	0.01228
76050000	0.01116
76150000	0.011
76250000	0.01
76350000	0.01108
76450000	0.0108
76550000	0.01112
76650000	0.00944
76750000	0.0108
76850000	0.01136
76950000	0.00952
77050000	0.012
77150000	0.01196
77250000	0.01248
77350000	0.0136
77450000	0.01004
77550000	0.012
77650000	0.0118
77750000	0.01168
77850000	0.01228
77950000	0.01264
78050000	0.01184
78150000	0.01248
78250000	0.01328
78350000	0.01436
78450000	0.01212
78550000	0.01112
78650000	0.01248
78750000	0.01268
78850000	0.01228
78950000	0.01312
79050000	0.00992
79150000	0.011
79250000	0.0126
79350000	0.01132
79450000	0.01244
79550000	0.01128
79650000	0.01064
79750000	0.01216
79850000	0.01156
79950000	0.012
80050000	0.01216
80150000	0.01292
80250000	0.0118
80350000	0.01176
80450000	0.012
80550000	0.01104
80650000	0.01204
80750000	0.01064
80850000	0.01252
80950000	0.0116
81050000	0.01204
81150000	0.01136
81250000	0.01212
81350000	0.01132
81450000	0.01108
81550000	0.0116
81650000	0.01164
81750000	0.01096
81850000	0.0116
81950000	0.01024
82050000	0.01216
82150000	0.01064
82250000	0.01076
82350000	0.0114
82450000	0.01088
82550000	0.01136
82650000	0.01036
82750000	0.00992
82850000	0.01196
82950000	0.01216
83050000	0.01152
83150000	0.01248
83250000	0.01184
83350000	0.0114
83450000	0.01244
83550000	0.01124
83650000	0.01128
83750000	0.01124
83850000	0.01076
83950000	0.01252
84050000	0.01052
84150000	0.01024
84250000	0.01056
84350000	0.01108
84450000	0.01064
84550000	0.01152
84650000	0.01264
84750000	0.01248
84850000	0.01296
84950000	0.01176
85050000	0.0064
85101575	0.0038095238095238095
